	Gene	Block	Mutagenesis Start	Mutagenesis End
0	FRED3	1	3	150
1	FRED3	2	138	306
2	FRED3	3	303	471
3	FRED3	4	456	624
4	FRED3	5	621	783
5	FRED3	6	783	954
6	FRED3	7	945	1113
7	FRED3	8	1098	1263
8	FRED3	9	1260	1425
9	FRED3	10	1425	1584
10	FRED3	11	1584	1713
