	Gene	Block	Mutagenesis Start	Mutagenesis End
0	FRED1	1	3	132
1	FRED1	2	120	288
2	FRED1	3	276	447
3	FRED1	4	429	603
4	FRED1	5	594	759
5	FRED1	6	750	912
6	FRED1	7	903	1068
7	FRED1	8	1062	1218
8	FRED1	9	1212	1380
9	FRED1	10	1371	1533
10	FRED1	11	1530	1656
11	VWF1	1	3	132
12	VWF1	2	120	294
13	VWF1	3	285	450
14	VWF1	4	438	606
15	VWF1	5	597	771
16	VWF1	6	756	924
17	VWF1	7	924	1083
18	VWF1	8	1077	1245
19	VWF1	9	1230	1395
20	VWF1	10	1392	1557
21	VWF1	11	1548	1683
